date,candidate_trades,errors,full_1x_losses,full_1x_max_open,full_1x_pnl,full_1x_return_pct,full_1x_trades,full_1x_wins,full_2x_losses,full_2x_max_open,full_2x_pnl,full_2x_return_pct,full_2x_trades,full_2x_wins,full_3x_losses,full_3x_max_open,full_3x_pnl,full_3x_return_pct,full_3x_trades,full_3x_wins,portfolio_1x_losses,portfolio_1x_max_open,portfolio_1x_pnl,portfolio_1x_return_pct,portfolio_1x_trades,portfolio_1x_wins,portfolio_2x_losses,portfolio_2x_max_open,portfolio_2x_pnl,portfolio_2x_return_pct,portfolio_2x_trades,portfolio_2x_wins,portfolio_3x_losses,portfolio_3x_max_open,portfolio_3x_pnl,portfolio_3x_return_pct,portfolio_3x_trades,portfolio_3x_wins,quality_1x_losses,quality_1x_max_open,quality_1x_pnl,quality_1x_return_pct,quality_1x_trades,quality_1x_wins,quality_2x_losses,quality_2x_max_open,quality_2x_pnl,quality_2x_return_pct,quality_2x_trades,quality_2x_wins,quality_3x_losses,quality_3x_max_open,quality_3x_pnl,quality_3x_return_pct,quality_3x_trades,quality_3x_wins,symbols
2026-09-01,86,0,45,37,-51.22581796585308,-0.5122581796585308,86,41,45,37,-102.45163593170616,-1.0245163593170616,86,41,45,37,-153.67745389755925,-1.5367745389755925,86,41,30,19,-35.39847129349255,-0.3539847129349294,60,30,30,19,-70.79694258698146,-0.7079694258698144,60,30,30,19,-106.195413880474,-1.0619541388047438,60,30,13,18,-28.454247782669057,-0.28454247782669057,24,11,13,18,-56.908495565338114,-0.5690849556533811,24,11,13,18,-85.36274334800717,-0.8536274334800716,24,11,43
2026-09-02,73,0,34,33,41.05918618362826,0.4105918618362826,73,39,34,33,82.11837236725653,0.8211837236725652,73,39,34,33,123.1775585508848,1.231775585508848,73,39,23,20,124.89593366437657,1.2489593366437735,53,30,23,20,249.7918673287495,2.4979186732875025,53,30,23,20,374.68780099312426,3.7468780099312315,53,30,8,15,29.187422673372723,0.2918742267337272,18,10,8,15,58.374845346745445,0.5837484534674544,18,10,8,15,87.5622680201182,0.8756226802011821,18,10,35
2026-09-03,90,0,36,38,222.93931325854422,2.229393132585442,90,54,36,38,445.87862651708843,4.458786265170884,90,54,36,38,668.8179397756327,6.688179397756326,90,54,23,20,356.3166396938177,3.5631663969381666,58,35,23,20,712.6332793876409,7.1263327938764,58,35,23,20,1068.9499190814622,10.689499190814633,58,35,8,16,180.22399629160572,1.8022399629160573,23,15,8,16,360.44799258321143,3.6044799258321145,23,15,8,16,540.671988874817,5.40671988874817,23,15,47
2026-09-04,101,0,45,41,68.90088360435776,0.6890088360435775,101,56,45,41,137.80176720871552,1.378017672087155,101,56,45,41,206.7026508130733,2.067026508130733,101,56,26,20,114.50225722050527,1.1450225722050567,59,33,26,20,229.00451444100872,2.290045144410091,59,33,26,20,343.50677166151036,3.4350677166151034,59,33,14,21,54.61364656329867,0.5461364656329867,28,14,14,21,109.22729312659735,1.0922729312659734,28,14,14,21,163.84093968989606,1.6384093968989606,28,14,50
2026-09-05,87,0,42,40,11.602201537362351,0.11602201537362351,87,45,42,40,23.204403074724702,0.23204403074724703,87,45,42,40,34.80660461208705,0.3480660461208705,87,45,28,20,76.12006835433203,0.7612006835433283,62,34,28,20,152.2401367086677,1.5224013670866787,62,34,28,20,228.36020506299792,2.283602050629985,62,34,9,18,29.49318829938371,0.2949318829938371,23,14,9,18,58.98637659876742,0.5898637659876742,23,14,9,18,88.4795648981512,0.884795648981512,23,14,43
2026-09-06,92,0,50,44,-22.502406664355718,-0.22502406664355717,92,42,50,44,-45.004813328711435,-0.45004813328711435,92,42,50,44,-67.50721999306715,-0.6750721999306715,92,42,28,20,76.75411408405307,0.7675411408405219,56,28,28,20,153.50822816809705,1.5350822816809773,56,28,28,20,230.26234225215012,2.302623422521499,56,28,15,26,-54.08239271790296,-0.5408239271790296,27,12,15,26,-108.16478543580592,-1.0816478543580592,27,12,15,26,-162.24717815370892,-1.6224717815370893,27,12,47
2026-09-07,80,0,33,34,92.61130143089447,0.9261130143089448,80,47,33,34,185.22260286178894,1.8522260286178895,80,47,33,34,277.8339042926834,2.778339042926834,80,47,27,20,107.35491724306848,1.0735491724306767,58,31,27,20,214.70983448614243,2.14709834486142,58,31,27,20,322.06475172921273,3.220647517292119,58,31,12,19,-64.747878026921,-0.64747878026921,25,13,12,19,-129.495756053842,-1.29495756053842,25,13,12,19,-194.24363408076312,-1.9424363408076313,25,13,40
2026-09-08,83,0,34,36,33.162762693170286,0.3316276269317029,83,49,34,36,66.32552538634057,0.6632552538634058,83,49,34,36,99.48828807951085,0.9948828807951084,83,49,26,20,78.25288815685053,0.7825288815685116,62,36,26,20,156.5057763137047,1.5650577631370455,62,36,26,20,234.75866447055887,2.3475866447055793,62,36,14,22,-34.1362896432893,-0.341362896432893,24,10,14,22,-68.2725792865786,-0.682725792865786,24,10,14,22,-102.4088689298679,-1.024088689298679,24,10,42
2026-09-09,85,0,36,32,64.80578857763808,0.6480578857763809,85,49,36,32,129.61157715527617,1.2961157715527618,85,49,36,32,194.41736573291422,1.9441736573291422,85,49,24,20,110.48442360526496,1.10484423605266,62,38,24,20,220.9688472105281,2.2096884721052756,62,38,24,20,331.4532708157949,3.314532708157958,62,38,8,15,92.85990813086913,0.9285990813086913,20,12,8,15,185.71981626173826,1.8571981626173826,20,12,8,15,278.5797243926073,2.785797243926073,20,12,37
2026-09-10,83,0,30,35,246.5814941554569,2.4658149415545694,83,53,30,35,493.1629883109138,4.931629883109139,83,53,30,35,739.7444824663706,7.397444824663707,83,53,21,20,397.79030035515825,3.977903003551586,59,38,21,20,795.5806007103147,7.95580600710315,59,38,21,20,1193.370901065473,11.933709010654736,59,38,5,16,343.3822103241972,3.433822103241972,20,15,5,16,686.7644206483944,6.867644206483944,20,15,5,16,1030.1466309725918,10.301466309725917,20,15,38
